Image Name,Defect Type,Confidence,Severity,Centroid X,Centroid Y
sample_1.jpg,open,0.9999,CRITICAL,99,477
sample_1.jpg,open,0.9999,CRITICAL,279,569
sample_1.jpg,short,0.9999,CRITICAL,39,490
sample_1.jpg,copper,0.9998,MINOR,267,195
sample_1.jpg,short,0.9998,CRITICAL,388,606
sample_1.jpg,pin-hole,0.9998,MINOR,227,288
sample_1.jpg,spur,0.9994,MAJOR,245,62
sample_1.jpg,copper,0.9990,MINOR,261,372
sample_2.jpg,pin-hole,0.9999,MINOR,367,418
sample_2.jpg,copper,0.9999,MINOR,414,528
sample_2.jpg,short,0.9998,CRITICAL,201,147
sample_2.jpg,mousebite,0.9998,MAJOR,159,218
sample_2.jpg,copper,0.9998,MINOR,569,475
sample_2.jpg,open,0.9995,CRITICAL,429,320
sample_2.jpg,open,0.9993,CRITICAL,194,372
sample_2.jpg,short,0.9989,CRITICAL,78,351
sample_2.jpg,mousebite,0.9942,MAJOR,140,321
sample_2.jpg,spur,0.9667,MAJOR,196,427
sample_2.jpg,short,0.6894,CRITICAL,196,428
sample_3.jpg,open,1.0000,CRITICAL,540,86
sample_3.jpg,copper,0.9999,MINOR,404,329
sample_3.jpg,open,0.9999,CRITICAL,219,233
sample_3.jpg,pin-hole,0.9999,MINOR,271,57
sample_3.jpg,mousebite,0.9997,MAJOR,253,481
sample_3.jpg,spur,0.9994,MAJOR,277,192
sample_3.jpg,spur,0.9987,MAJOR,136,380
sample_3.jpg,short,0.9976,CRITICAL,205,532
sample_4.jpg,short,0.9998,CRITICAL,270,167
sample_4.jpg,open,0.9998,CRITICAL,357,334
sample_4.jpg,mousebite,0.9997,MAJOR,243,345
sample_4.jpg,pin-hole,0.9996,MINOR,249,500
sample_4.jpg,copper,0.9996,MINOR,132,308
sample_4.jpg,spur,0.9993,MAJOR,555,193
sample_4.jpg,spur,0.9986,MAJOR,434,311
sample_5.jpg,copper,0.9998,MINOR,378,268
sample_5.jpg,mousebite,0.9996,MAJOR,253,519
sample_5.jpg,spur,0.9996,MAJOR,389,590
sample_5.jpg,short,0.9994,CRITICAL,276,603
sample_5.jpg,pin-hole,0.9986,MINOR,46,535
sample_5.jpg,pin-hole,0.9809,MINOR,446,580
sample_6.jpg,short,0.9997,CRITICAL,106,180
sample_6.jpg,open,0.9996,CRITICAL,128,243
sample_6.jpg,short,0.9995,CRITICAL,391,213
sample_6.jpg,pin-hole,0.9994,MINOR,282,200
sample_6.jpg,short,0.9982,CRITICAL,217,117
sample_6.jpg,copper,0.9970,MINOR,333,336
sample_6.jpg,short,0.9814,CRITICAL,500,229
sample_6.jpg,spur,0.9715,MAJOR,218,152
sample_6.jpg,short,0.9072,CRITICAL,354,227
sample_6.jpg,short,0.6979,CRITICAL,215,150
sample_6.jpg,short,0.6016,CRITICAL,268,388
sample_7.jpg,copper,0.9999,MINOR,84,240
sample_7.jpg,pin-hole,0.9999,MINOR,396,314
sample_7.jpg,mousebite,0.9993,MAJOR,297,233
sample_7.jpg,copper,0.9993,MINOR,433,121
sample_7.jpg,pin-hole,0.9973,MINOR,325,425
sample_7.jpg,spur,0.9961,MAJOR,509,403
sample_8.jpg,pin-hole,0.9999,MINOR,445,373
sample_8.jpg,copper,0.9997,MINOR,324,554
sample_8.jpg,mousebite,0.9986,MAJOR,184,354
sample_8.jpg,mousebite,0.9984,MAJOR,115,250
sample_8.jpg,spur,0.9983,MAJOR,229,514
sample_8.jpg,spur,0.9950,MAJOR,580,512
sample_8.jpg,mousebite,0.9925,MAJOR,369,160
sample_8.jpg,short,0.9875,CRITICAL,294,215
sample_9.jpg,spur,0.9999,MAJOR,483,272
sample_9.jpg,copper,0.9998,MINOR,96,212
sample_9.jpg,pin-hole,0.9996,MINOR,582,333
sample_9.jpg,copper,0.9993,MINOR,516,232
sample_9.jpg,open,0.9993,CRITICAL,205,414
sample_9.jpg,mousebite,0.9989,MAJOR,261,354
sample_9.jpg,spur,0.9987,MAJOR,516,452
sample_9.jpg,pin-hole,0.9980,MINOR,271,256
sample_10.jpg,copper,0.9998,MINOR,349,178
sample_10.jpg,mousebite,0.9998,MAJOR,271,311
sample_10.jpg,mousebite,0.9995,MAJOR,558,314
sample_10.jpg,open,0.9995,CRITICAL,83,130
sample_10.jpg,pin-hole,0.9991,MINOR,154,255
sample_10.jpg,mousebite,0.9974,MAJOR,388,290
